business_date,portfolio_id,security_id,quantity,market_value
2023-06-30,PORT001,AAPL,1000,"189,523.50"
2023-06-30,PORT001,GOOGL,500,"61,234.75"
2023-06-30,PORT001,MSFT,750,"253,987.25"
2023-06-30,PORT001,AMZN,300,"34,998.00"
2023-06-30,PORT002,TSLA,200,"49,876.00"
2023-06-30,PORT002,NVDA ,400,"181,234.00"
2023-06-30,PORT002,AMD,1000,109876.50
2023-06-30,PORT003,JPM,600,"79,998.00"
2023-06-30,PORT003,BAC,2000,"59,876.00"
2023-06-30,PORT003,WFC,1500,"64,987.50"
2023-06-30,PORT004,JNJ,400,70123
2023-06-30, PORT004,PFE,1000,"39,998.00"
2023-06-30,PORT004,MRK,800,"90,234.00"
2023-06-30,PORT005,XOM,700,"74,998.50"
2023-06-30,PORT005,CVX,500,"54,987.25"